N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
271;51;57.8;5.9;7.8;34.017;58.85;17.916;6;31.00;16.4;45.7;0.359;76.9;AA;4.99;5.867;0.41;10.15;3;GRANDE;58.81;43.44;73.86;Padrão;58.54;61.89;;7;Processamento
272;51;61.3;5.0;7.9;39.413;64.30;16.090;6;26.25;14.1;44.3;0.318;68.2;A ;4.10;5.797;0.39;9.46;3;EXTRA;58.20;44.29;76.10;Redondo;60.05;62.69;;7;Processamento
273;51;59.6;4.1;8.3;35.929;60.28;17.610;6;29.55;13.6;45.3;0.300;60.1;A ;4.38;6.061;0.40;10.17;3;EXTRA;56.20;44.09;78.45;Redondo;57.50;60.93;;7;Processamento
274;51;62.9;3.9;8.2;39.381;62.61;17.405;6;27.67;15.0;42.7;0.351;56.0;B ;4.37;6.114;0.40;9.72;4;EXTRA;58.50;44.64;76.31;Redondo;61.24;63.42;;7;Processamento
275;51;64.0;4.3;8.2;39.802;62.19;17.837;7;27.87;13.5;46.7;0.289;60.0;A ;5.37;6.361;0.42;9.94;2;EXTRA;59.20;44.42;75.03;Padrão;61.41;63.60;;7;Processamento
276;51;63.5;4.4;8.2;39.673;62.48;17.504;6;27.57;14.9;44.3;0.336;61.3;A ;4.68;6.323;0.41;9.96;3;EXTRA;57.54;44.57;77.46;Redondo;60.06;62.61;;7;Processamento
277;51;64.2;4.4;8.4;40.584;63.21;17.165;6;26.74;14.9;44.3;0.336;61.0;A ;5.76;6.451;0.39;10.05;3;EXTRA;59.61;44.69;74.97;Padrão;62.53;64.30;;7;Processamento
278;51;58.6;4.9;8.3;36.484;62.26;16.748;6;28.58;14.8;44.3;0.334;68.4;A ;4.01;5.368;0.38;9.16;3;EXTRA;57.11;43.77;76.64;Redondo;57.65;61.15;;7;Processamento
279;51;65.5;5.1;8.8;43.028;65.69;16.600;6;25.34;15.8;44.7;0.353;67.3;A ;4.59;5.872;0.40;8.96;3;EXTRA;60.22;45.10;74.89;Padrão;64.25;65.34;;7;Processamento
280;51;64.7;4.9;8.5;40.922;63.25;17.214;6;26.61;15.1;43.7;0.346;65.8;A ;4.62;6.564;0.40;10.15;3;EXTRA;57.84;45.53;78.72;Redondo;62.80;64.23;;7;Processamento
281;51;74.7;5.3;8.6;47.278;63.29;19.490;6;26.09;16.8;44.0;0.382;65.5;A ;6.73;7.932;0.45;10.62;4;JUMBO;61.91;47.30;76.40;Redondo;72.10;69.88;;7;Processamento
282;51;58.2;3.3;8.8;32.747;56.27;19.135;7;32.88;15.1;46.3;0.326;51.2;B ;3.10;6.318;0.40;10.86;1;EXTRA;55.05;44.04;80.00;Redondo;56.21;59.99;;7;Processamento
283;51;60.7;4.6;8.6;38.435;63.32;16.479;6;27.15;15.3;45.3;0.338;64.7;A ;4.77;5.786;0.40;9.53;2;EXTRA;58.15;43.76;75.25;Padrão;58.68;61.89;;7;Processamento
284;51;63.2;4.5;8.7;37.692;59.64;19.494;6;30.84;15.0;45.0;0.333;62.5;A ;4.84;6.014;0.39;9.52;2;EXTRA;58.40;44.58;76.34;Redondo;60.99;63.26;;7;Processamento
285;51;67.4;4.9;8.5;43.207;64.11;17.504;6;25.97;15.1;44.7;0.338;64.6;A ;5.15;6.689;0.42;9.92;3;EXTRA;;;;Redondo;;0.00;;7;Processamento
286;51;63.7;7.0;8.3;;;;6;;10.6;57.3;0.185;82.6;AA;3.18;6.387;0.42;10.03;3;EXTRA;;;;Redondo;;0.00;;7;Processamento
287;51;61.8;4.6;8.5;36.509;59.08;19.291;6;31.22;16.0;45.3;0.353;64.2;A ;3.91;6.000;0.42;9.71;2;EXTRA;57.03;44.38;77.82;Redondo;59.06;61.96;;7;Processamento
288;51;58.8;4.8;8.6;33.760;57.41;19.040;6;32.38;15.3;46.0;0.333;67.4;A ;5.65;6.000;0.43;10.20;2;EXTRA;56.45;43.94;77.84;Redondo;57.39;60.90;;7;Processamento
