N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
346;51;58.8;5.0;8.0;32.681;55.58;19.307;6;32.84;14.3;46.7;0.306;69.2;A ;5.58;6.812;0.42;11.59;3;EXTRA;56.38;43.70;77.51;Redondo;56.75;60.51;;7;Processamento
347;51;62.3;4.6;7.8;39.035;62.66;17.059;6;27.38;15.6;46.0;0.339;63.9;A ;4.49;6.206;0.42;9.96;4;EXTRA;58.07;44.55;76.72;Redondo;60.57;62.98;;7;Processamento
348;51;64.0;4.8;8.1;40.403;63.13;17.120;6;26.75;14.4;47.7;0.302;65.1;A ;5.01;6.477;0.42;10.12;2;EXTRA;57.44;45.42;79.07;Redondo;62.09;63.77;;7;Processamento
349;51;68.6;4.5;7.9;43.621;63.59;18.450;7;26.90;14.6;46.7;0.313;59.9;B ;4.56;6.529;0.42;9.52;2;JUMBO;58.16;46.75;80.38;Redondo;66.30;66.25;;7;Processamento
350;51;65.5;4.6;8.9;40.572;61.94;18.830;6;28.75;15.0;48.7;0.308;62.4;A ;4.10;6.098;0.41;9.31;2;EXTRA;58.63;45.22;77.13;Redondo;62.86;64.36;;7;Processamento
351;51;66.1;5.0;8.9;40.391;61.11;19.747;7;29.87;15.0;44.0;0.341;66.1;A ;4.24;5.962;0.41;9.02;3;EXTRA;58.19;45.75;78.62;Redondo;63.74;64.81;;7;Processamento
352;51;61.8;5.3;9.0;39.200;63.43;16.823;6;27.22;15.1;42.3;0.357;70.6;A ;4.17;5.777;0.36;9.35;3;EXTRA;58.44;44.54;76.21;Redondo;60.93;63.23;;7;Processamento
353;51;57.9;4.9;8.9;33.640;58.10;18.395;6;31.77;14.4;45.0;0.320;68.7;A ;4.47;5.865;0.37;10.13;4;GRANDE;56.95;43.10;75.68;Padrão;55.87;60.07;sangue_na_gema;7;Processamento
354;51;67.1;2.6;8.3;44.117;65.75;17.314;6;25.80;14.1;45.0;0.313;33.0;B ;3.35;5.669;0.40;8.45;2;EXTRA;58.66;45.88;78.21;Redondo;64.59;65.35;;7;Processamento
355;51;65.8;4.9;7.8;39.898;60.64;19.755;6;30.02;15.4;49.7;0.310;65.3;A ;3.68;6.147;0.42;9.34;3;EXTRA;59.27;43.88;74.03;Padrão;60.11;62.86;;7;Processamento
356;51;63.6;4.8;7.5;37.069;58.28;20.220;6;31.79;15.3;45.3;0.338;65.3;A ;4.33;6.311;0.42;9.92;2;EXTRA;58.85;42.90;72.90;Padrão;57.24;61.13;;7;Processamento
357;51;53.9;4.4;7.3;30.917;57.36;17.440;6;32.36;15.1;43.3;0.349;66.0;A ;4.92;5.543;0.43;10.28;3;GRANDE;56.36;42.00;74.52;Padrão;52.70;58.08;;7;Processamento
358;51;54.4;4.6;8.2;31.544;57.99;16.610;6;30.53;14.4;41.7;0.345;67.6;A ;4.89;6.246;0.42;11.48;3;GRANDE;56.28;41.96;74.56;Padrão;52.53;57.97;;7;Processamento
359;51;60.1;4.5;8.4;37.114;61.75;17.262;6;28.72;14.6;45.3;0.322;64.0;A ;2.86;5.724;0.40;9.52;2;EXTRA;59.59;43.25;72.58;Padrão;58.84;62.15;;7;Processamento
360;51;58.7;4.5;8.4;;;;6;;13.3;45.3;0.294;64.6;A ;4.04;5.644;0.38;9.61;2;EXTRA;58.33;42.83;73.43;Padrão;56.56;60.66;;7;Processamento
361;51;55.0;3.5;8.7;33.473;60.86;15.989;6;29.07;13.1;45.3;0.289;55.8;B ;3.69;5.538;0.38;10.07;1;GRANDE;53.93;43.20;80.10;Redondo;53.14;57.98;;7;Processamento
362;51;56.3;4.6;8.3;33.381;59.29;17.590;7;31.24;14.4;44.7;0.322;66.7;A ;5.20;5.329;0.42;9.47;3;GRANDE;55.74;42.78;76.75;Redondo;53.93;58.74;;7;Processamento
363;51;56.0;4.8;8.0;33.146;59.19;16.761;7;29.93;15.3;42.3;0.362;68.7;A ;2.16;6.093;0.43;10.88;1;GRANDE;56.15;43.91;78.20;Redondo;57.02;60.64;;7;Processamento
364;51;61.9;3.9;8.3;41.549;67.12;16.545;6;26.73;13.9;43.0;0.323;56.5;B ;4.09;3.806;0.33;6.15;2;EXTRA;57.42;44.24;77.05;Redondo;59.12;62.05;;7;Processamento
365;51;71.1;4.5;8.0;49.204;69.20;16.044;6;22.57;15.5;47.7;0.325;58.7;B ;2.91;5.852;0.41;8.23;4;JUMBO;62.33;46.27;74.23;Padrão;69.71;68.61;;7;Processamento
366;51;72.6;4.4;8.6;46.294;63.77;20.476;6;28.20;13.9;46.7;0.298;56.8;B ;3.64;5.830;0.35;8.03;2;JUMBO;60.14;47.21;78.50;Redondo;69.80;68.43;;7;Processamento
367;51;65.2;6.3;8.5;40.130;61.55;18.590;6;28.51;15.5;44.0;0.352;77.3;AA;4.09;6.480;0.42;9.94;4;EXTRA;59.31;45.13;76.09;Redondo;63.35;64.73;;7;Processamento
368;51;65.0;4.8;8.5;42.713;65.71;16.096;6;24.76;14.5;47.0;0.309;64.7;A ;3.46;6.191;0.39;9.52;1;EXTRA;58.74;45.56;77.56;Redondo;63.85;64.94;;7;Processamento
369;51;64.3;4.0;8.5;39.702;61.74;18.722;6;29.12;15.4;48.0;0.321;56.4;B ;6.18;5.876;0.39;9.14;4;EXTRA;59.65;44.36;74.37;Padrão;61.72;63.84;;7;Processamento
370;51;63.8;4.9;9.0;36.926;57.88;19.836;7;31.09;15.1;47.3;0.319;66.2;A ;4.55;7.038;0.43;11.03;4;EXTRA;59.71;44.50;74.53;Padrão;62.15;64.09;;7;Processamento
371;51;70.8;4.4;8.8;46.335;65.44;18.677;7;26.38;15.4;45.3;0.340;57.7;B ;4.98;5.788;0.37;8.18;4;JUMBO;61.23;46.24;75.52;Padrão;68.40;67.78;;7;Processamento
372;51;61.7;5.1;7.3;;;;6;;15.3;46.0;0.333;68.9;A ;4.50;7.021;0.43;11.38;3;EXTRA;56.05;44.60;79.57;Redondo;58.58;61.54;;7;Processamento
373;51;64.3;3.8;8.2;40.376;62.79;17.967;6;27.94;12.3;44.7;0.275;54.0;B ;5.29;5.957;0.39;9.26;2;EXTRA;57.54;45.12;78.42;Redondo;61.44;63.41;;7;Processamento
374;51;59.2;4.1;8.5;36.115;61.01;16.423;6;27.74;14.0;45.7;0.306;60.3;A ;6.58;6.662;0.40;11.25;3;EXTRA;57.03;43.64;76.52;Redondo;57.25;60.90;;7;Processamento
375;51;67.4;3.9;8.5;42.777;63.47;18.252;7;27.08;14.4;44.7;0.322;53.5;B ;5.85;6.371;0.41;9.45;3;EXTRA;58.35;45.97;78.78;Redondo;64.48;65.25;;7;Processamento
376;51;65.5;4.3;8.4;39.362;60.09;19.451;6;29.70;14.9;48.7;0.306;59.2;B ;4.87;6.687;0.42;10.21;1;EXTRA;61.88;44.22;71.46;Pontiagudo;63.66;65.18;;7;Processamento
377;51;64.3;5.5;8.8;38.467;59.82;19.459;6;30.26;7.4;46.7;0.158;71.3;A ;2.64;6.374;0.41;9.91;3;EXTRA;57.04;45.62;79.98;Redondo;62.16;63.75;;7;Processamento
378;51;69.6;4.4;8.0;46.952;67.46;16.089;6;23.12;16.0;50.3;0.318;58.3;B ;5.48;6.559;0.42;9.42;3;JUMBO;57.41;47.23;82.27;Redondo;66.68;66.36;;7;Processamento
379;51;62.4;4.5;7.9;34.499;55.29;21.250;6;34.05;7.5;49.7;0.151;62.9;A ;4.43;6.651;0.42;10.66;2;EXTRA;55.69;45.24;81.24;Redondo;59.76;62.17;;7;Processamento
380;51;65.6;5.8;8.2;;;;6;;15.9;49.7;0.320;73.3;AA;3.57;6.405;0.42;9.76;4;EXTRA;60.37;44.20;73.22;Padrão;62.05;64.11;;7;Processamento
381;51;63.6;4.3;7.9;37.583;59.09;19.172;6;30.14;14.1;47.3;0.298;60.2;A ;5.44;6.845;0.43;10.76;2;EXTRA;60.23;44.47;73.83;Padrão;62.61;64.41;;7;Processamento
382;51;63.1;4.9;8.3;38.367;60.80;18.436;7;29.22;15.3;44.7;0.342;66.5;A ;4.77;6.297;0.43;9.98;2;EXTRA;56.75;44.94;79.19;Redondo;60.15;62.56;;7;Processamento
383;51;63.6;3.6;8.0;40.016;62.92;17.140;6;26.95;13.9;46.3;0.300;51.8;B ;3.24;6.444;0.40;10.13;3;EXTRA;59.41;44.44;74.80;Padrão;61.68;63.78;;7;Processamento
384;51;59.7;5.1;7.9;36.119;60.50;17.747;6;29.73;15.5;45.3;0.342;69.7;A ;4.72;5.834;0.42;9.77;2;EXTRA;58.28;43.49;74.62;Padrão;58.14;61.59;;7;Processamento
385;51;57.8;3.3;8.6;36.106;62.47;16.047;7;27.76;13.4;43.7;0.307;51.5;B ;5.03;5.647;0.41;9.77;2;GRANDE;56.38;43.48;77.12;Redondo;56.22;60.20;;7;Processamento
386;51;57.7;5.0;8.4;35.268;61.12;16.633;6;28.83;15.1;43.7;0.346;69.7;A ;4.77;5.799;0.37;10.05;3;GRANDE;57.76;42.71;73.94;Padrão;55.72;60.09;;7;Processamento
387;51;53.9;5.5;8.3;32.078;59.51;16.689;6;30.96;12.5;44.3;0.282;75.3;AA;4.21;5.133;0.40;9.52;1;GRANDE;57.11;42.37;74.19;Padrão;54.28;59.14;;7;Processamento
388;51;62.9;6.9;8.2;39.298;62.48;17.434;7;27.72;14.9;46.3;0.322;82.2;AA;5.26;6.168;0.41;9.81;3;EXTRA;58.82;44.50;75.65;Padrão;61.22;63.45;;7;Processamento
389;51;63.6;5.3;8.6;41.005;64.47;17.070;7;26.84;15.4;45.3;0.340;69.9;A ;3.96;5.525;0.43;8.69;3;EXTRA;60.25;44.15;73.28;Padrão;61.80;63.95;;7;Processamento
390;51;61.3;5.3;8.3;36.028;58.77;18.806;6;30.68;13.8;46.0;0.300;70.8;A ;4.15;6.466;0.43;10.55;3;EXTRA;57.43;44.07;76.74;Redondo;58.71;61.81;casca_suja;7;Processamento
391;51;67.2;5.0;8.5;41.005;61.02;19.790;6;29.45;15.5;47.0;0.330;65.7;A ;4.13;6.405;0.41;9.53;3;EXTRA;61.80;44.76;72.43;Padrão;65.02;65.94;;7;Processamento
392;51;56.2;4.9;8.5;33.362;59.36;16.965;6;30.19;14.9;45.3;0.329;69.5;A ;4.99;5.873;0.41;10.45;2;GRANDE;55.41;43.18;77.93;Redondo;54.55;59.06;;7;Processamento
393;51;68.5;5.9;8.7;42.882;62.60;17.993;7;26.27;14.8;44.3;0.334;73.1;AA;6.48;7.625;0.47;11.13;4;JUMBO;59.97;45.62;76.07;Redondo;65.35;65.94;casca_suja;7;Processamento
394;51;65.5;3.9;8.5;39.798;60.76;19.320;6;29.50;14.5;47.0;0.309;54.6;B ;4.22;6.382;0.41;9.74;3;EXTRA;60.64;44.57;73.50;Padrão;63.30;64.85;casca_suja;7;Processamento
395;51;76.1;5.5;8.4;51.162;67.23;18.762;6;24.65;15.6;46.0;0.339;66.8;A ;3.66;6.176;0.38;8.12;3;JUMBO;63.18;47.15;74.63;Padrão;73.15;70.57;;7;Processamento
396;51;55.7;3.6;8.4;34.761;62.41;15.420;6;27.68;13.3;42.0;0.317;56.5;B ;4.25;5.519;0.41;9.91;2;GRANDE;58.39;42.39;72.60;Padrão;55.55;60.06;casca_suja;7;Processamento
397;51;71.8;5.1;8.2;;;;6;;15.5;48.3;0.321;64.7;A ;5.16;7.130;0.43;9.93;3;JUMBO;62.88;45.82;72.87;Padrão;69.07;68.31;;7;Processamento
398;51;61.6;7.4;8.2;36.379;59.06;18.278;7;29.67;16.5;45.0;0.367;85.7;AA;1.20;6.943;0.44;11.27;4;EXTRA;59.96;44.92;74.92;Padrão;63.50;64.89;trincado;7;Descarte
399;51;64.3;3.9;7.0;40.931;63.66;18.067;5;28.10;13.5;42.7;0.316;55.2;B ;2.61;5.302;0.36;8.25;2;EXTRA;60.33;44.89;74.41;Padrão;63.81;65.11;;7;Processamento
400;51;61.3;5.5;8.5;38.862;63.40;17.310;5;28.24;16.6;46.0;0.361;72.5;AA;1.41;5.128;0.40;8.37;3;EXTRA;58.02;44.16;76.11;Redondo;59.54;62.37;casca_suja;7;Processamento
401;48;60.4;2.9;8.4;36.639;60.66;17.578;6;29.10;10.3;48.0;0.215;43.9;B ;3.12;6.183;0.43;10.24;1;EXTRA;57.70;42.50;73.66;Padrão;55.15;59.74;;14;In_natura
402;48;56.4;4.0;8.3;26.954;47.79;21.620;6;38.33;12.9;47.7;0.270;60.7;A ;5.15;7.826;0.48;13.88;2;GRANDE;59.43;45.47;76.51;Redondo;64.37;65.32;;14;In_natura
403;48;68.8;3.3;8.5;42.189;61.32;19.810;7;28.79;13.4;48.7;0.275;44.2;B ;5.39;6.801;0.42;9.89;2;JUMBO;60.61;43.95;72.51;Padrão;61.65;63.90;;14;In_natura
404;48;63.8;3.3;8.3;37.692;59.08;19.370;6;30.36;12.8;49.0;0.261;47.6;B ;6.03;6.738;0.44;10.56;3;EXTRA;59.23;44.38;74.93;Padrão;61.34;63.57;;14;In_natura
405;48;54.7;6.5;8.5;33.781;61.76;15.190;6;27.77;11.8;45.7;0.258;82.1;AA;5.32;5.729;0.44;10.47;1;GRANDE;53.29;43.63;81.87;Redondo;53.48;58.08;;14;In_natura
406;48;66.1;3.6;8.5;39.879;60.33;18.774;5;28.40;12.8;47.0;0.272;50.3;B ;6.39;7.447;0.48;11.27;3;EXTRA;58.56;45.90;78.38;Redondo;64.53;65.31;;14;In_natura
407;48;58.6;3.3;8.3;35.544;60.66;16.824;6;28.71;12.5;45.7;0.274;51.0;B ;5.48;6.232;0.45;10.63;2;EXTRA;55.45;44.20;79.71;Redondo;57.00;60.52;;14;In_natura
408;48;55.5;3.8;8.5;31.771;57.25;17.563;6;31.65;11.6;48.3;0.240;59.0;B ;4.98;6.166;0.46;11.11;2;GRANDE;56.79;42.59;75.00;Padrão;54.50;59.23;;14;In_natura
409;48;65.1;3.6;8.5;40.466;62.16;17.830;5;27.39;11.9;47.0;0.253;50.9;B ;5.08;6.804;0.43;10.45;3;EXTRA;59.18;45.09;76.19;Redondo;63.11;64.58;;14;In_natura
410;48;69.3;4.4;8.6;43.086;62.17;18.961;6;27.36;13.9;47.0;0.296;58.5;B ;5.56;7.253;0.42;10.47;2;JUMBO;59.63;46.13;77.36;Redondo;66.32;66.44;;14;In_natura
411;48;56.6;4.0;8.4;33.915;59.92;16.366;6;28.92;11.3;47.7;0.237;60.6;A ;5.72;6.319;0.46;11.16;3;GRANDE;56.45;43.22;76.56;Redondo;55.67;59.88;;14;In_natura
412;48;62.9;4.4;8.3;43.772;69.59;11.976;7;19.04;13.5;45.0;0.300;61.6;A ;3.63;7.152;0.46;11.37;2;EXTRA;58.22;44.87;77.07;Redondo;61.53;63.55;;14;In_natura
413;48;57.4;3.5;8.6;34.155;59.50;17.313;6;30.16;11.5;46.7;0.246;54.3;B ;4.84;5.932;0.44;10.33;1;GRANDE;57.65;43.35;75.20;Padrão;57.17;60.93;casca_suja;14;In_natura
414;48;61.1;3.4;8.6;36.541;59.81;18.016;6;29.49;12.1;47.3;0.256;50.7;B ;4.58;6.543;0.46;10.71;2;EXTRA;57.33;44.32;77.31;Redondo;59.22;62.10;;14;In_natura
415;48;64.5;3.6;8.7;38.356;59.47;18.634;6;28.89;12.4;48.0;0.258;51.3;B ;6.24;7.510;0.45;11.64;1;EXTRA;57.95;44.85;77.39;Redondo;61.19;63.32;;14;In_natura
416;48;70.3;4.5;8.9;41.945;59.67;20.681;6;29.42;12.5;48.3;0.259;59.1;B ;3.86;7.674;0.45;10.92;4;JUMBO;60.94;46.08;75.62;Padrão;67.64;67.33;;14;In_natura
417;48;65.9;3.9;8.5;41.512;62.99;17.211;7;26.12;12.9;46.0;0.280;54.3;B ;4.74;7.177;0.45;10.89;3;EXTRA;59.52;45.24;76.01;Redondo;63.86;65.05;;14;In_natura
418;48;56.7;3.6;8.3;;;;6;;12.6;46.7;0.270;56.0;B ;6.39;6.736;0.44;11.88;2;GRANDE;55.41;43.50;78.51;Redondo;55.30;59.51;;14;In_natura
419;48;62.5;3.3;8.4;38.930;62.29;16.993;6;27.19;11.0;47.7;0.231;48.4;B ;4.83;6.577;0.43;10.52;2;EXTRA;57.63;44.71;77.58;Redondo;60.51;62.88;;14;In_natura
420;48;53.2;3.8;8.3;30.210;56.79;17.128;5;32.20;11.8;48.0;0.246;60.2;A ;4.61;5.862;0.45;11.02;1;GRANDE;54.59;42.60;78.04;Redondo;52.41;57.64;;14;In_natura
421;48;66.9;4.3;8.1;;;;6;;13.4;45.3;0.296;58.5;B ;3.09;7.165;0.42;10.71;4;EXTRA;73.32;46.95;64.03;Pontiagudo;84.23;76.79;;14;In_natura
422;48;87.2;4.5;8.2;;;;6;;12.3;47.0;0.262;50.8;B ;2.10;6.752;0.44;7.74;3;JUMBO;58.40;45.10;77.23;Redondo;62.31;64.02;;14;In_natura
423;48;65.2;3.8;8.2;48.222;73.96;10.448;6;16.02;8.0;42.0;0.190;53.5;B ;5.36;6.530;0.42;10.02;3;EXTRA;58.22;45.49;78.13;Redondo;63.11;64.46;;14;In_natura
424;48;65.0;4.5;8.2;39.995;61.53;18.224;6;28.04;12.8;46.0;0.278;61.6;A ;4.73;6.781;0.45;10.43;4;EXTRA;57.06;46.03;80.67;Redondo;63.21;64.36;;14;In_natura
425;48;56.6;3.4;8.1;32.226;56.94;17.248;7;30.47;12.6;47.3;0.266;53.6;B ;5.98;7.126;0.49;12.59;2;GRANDE;53.70;43.85;81.66;Redondo;54.39;58.70;;14;In_natura
426;48;66.3;3.8;8.2;38.593;58.21;20.721;7;31.25;13.5;45.7;0.295;52.8;B ;4.42;6.986;0.42;10.54;3;EXTRA;58.51;46.07;78.74;Redondo;64.92;65.52;;14;In_natura
427;48;57.5;3.6;8.2;33.408;58.10;17.523;6;30.47;11.3;43.7;0.259;55.5;B ;5.44;6.569;0.42;11.42;2;GRANDE;55.37;43.80;79.10;Redondo;55.97;59.90;;14;In_natura
428;48;66.7;3.5;8.3;;;;6;;8.5;48.0;0.177;48.5;B ;4.52;7.628;0.43;11.44;3;EXTRA;59.30;45.48;76.69;Redondo;64.25;65.24;;14;In_natura
429;48;57.8;4.3;8.3;33.876;58.61;17.726;6;30.67;13.5;45.7;0.295;63.1;A ;5.30;6.198;0.45;10.72;3;GRANDE;55.91;43.49;77.79;Redondo;55.77;59.86;;14;In_natura
430;48;68.5;3.9;8.3;;;;6;;8.3;50.0;0.166;52.9;B ;4.31;7.084;0.45;10.34;2;JUMBO;59.45;46.41;78.07;Redondo;66.86;66.73;;14;In_natura
431;48;53.3;3.4;8.6;31.162;58.47;16.606;6;31.16;11.6;46.3;0.251;55.6;B ;4.92;5.532;0.41;10.38;2;GRANDE;56.01;42.35;75.61;Padrão;53.19;58.33;;14;In_natura
432;48;67.0;3.6;8.7;40.484;60.42;18.978;6;28.33;12.1;50.7;0.239;49.8;B ;5.21;7.538;0.47;11.25;2;EXTRA;58.94;45.66;77.47;Redondo;64.33;65.24;casca_suja;14;In_natura
433;48;58.4;4.8;8.5;34.575;59.20;17.717;6;30.34;11.1;39.7;0.280;67.6;A ;5.09;6.108;0.43;10.46;2;EXTRA;55.83;44.19;79.15;Redondo;57.36;60.80;;14;In_natura
434;48;56.3;3.6;8.5;33.261;59.08;16.735;5;29.72;11.5;45.3;0.254;56.2;B ;6.18;6.304;0.45;11.20;2;GRANDE;52.39;44.21;84.39;Redondo;53.87;58.16;;14;In_natura
435;48;54.0;3.8;8.4;;;;7;;13.0;46.0;0.283;59.8;B ;4.71;6.058;0.46;11.22;2;GRANDE;55.02;42.31;76.90;Redondo;52.16;57.55;;14;In_natura
436;48;69.2;3.1;8.6;43.925;63.48;18.293;6;26.43;12.3;47.0;0.262;40.6;B ;5.60;6.982;0.45;10.09;4;JUMBO;60.48;46.01;76.07;Redondo;66.95;66.89;;14;In_natura
437;48;64.1;4.1;8.6;38.858;60.62;18.537;6;28.92;16.3;47.3;0.345;57.7;B ;3.56;6.705;0.47;10.46;2;EXTRA;59.64;46.44;77.87;Redondo;67.16;66.91;;14;In_natura
438;48;68.1;4.4;8.5;42.555;62.49;18.818;6;27.63;12.1;48.0;0.252;59.1;B ;4.83;6.727;0.42;9.88;4;JUMBO;59.91;43.88;73.24;Padrão;60.76;63.31;;14;In_natura
439;48;62.8;3.8;8.6;37.421;59.59;18.777;6;29.90;12.3;47.3;0.260;54.8;B ;5.02;6.602;0.42;10.51;3;EXTRA;59.40;44.03;74.12;Padrão;60.62;63.17;;14;In_natura
440;48;62.8;3.3;8.5;37.681;60.00;18.798;6;29.93;12.3;48.7;0.253;48.2;B ;5.58;6.321;0.41;10.07;3;EXTRA;57.97;45.20;77.97;Redondo;62.10;63.85;;14;In_natura
441;48;65.3;3.9;8.6;40.706;62.34;18.013;7;27.58;12.1;48.7;0.248;54.7;B ;4.47;6.581;0.43;10.08;2;EXTRA;59.34;44.76;75.43;Padrão;62.43;64.21;;14;In_natura
442;48;64.7;3.8;8.7;39.720;61.39;17.980;7;27.79;12.4;49.3;0.252;53.8;B ;4.85;7.000;0.46;10.82;4;EXTRA;58.57;44.90;76.66;Redondo;61.98;63.85;;14;In_natura
443;48;62.2;3.6;8.6;;;;6;;8.3;49.3;0.168;52.7;B ;7.07;7.026;0.46;11.30;4;EXTRA;58.13;44.22;76.07;Redondo;59.80;62.54;;14;In_natura
444;48;55.5;3.0;8.7;32.130;57.89;17.250;7;31.08;10.9;47.0;0.232;48.9;B ;5.46;6.120;0.47;11.03;2;GRANDE;55.09;43.12;78.27;Redondo;54.09;58.74;;14;In_natura
445;48;65.4;4.3;8.2;;;;6;;12.0;47.3;0.254;59.3;B ;5.44;6.142;0.43;9.39;3;EXTRA;55.93;43.09;77.04;Redondo;54.85;59.31;;14;In_natura
446;48;56.5;3.3;8.4;32.343;57.24;17.859;5;31.61;8.6;48.0;0.179;52.3;B ;5.24;6.298;0.43;11.15;2;GRANDE;56.67;44.38;78.31;Redondo;58.69;61.70;;14;In_natura
447;48;61.0;3.8;8.5;;;;6;;12.5;45.7;0.274;55.9;B ;5.20;6.506;0.41;10.67;2;EXTRA;59.33;44.79;75.49;Padrão;62.50;64.24;;14;In_natura
448;48;64.0;3.5;8.3;40.304;62.98;17.691;6;27.64;12.3;48.3;0.255;50.2;B ;4.43;6.005;0.43;9.38;2;EXTRA;57.90;44.29;76.49;Redondo;59.74;62.47;;14;In_natura
449;48;69.7;3.3;8.1;44.168;63.37;18.525;6;26.58;10.8;50.3;0.215;43.5;B ;5.26;7.007;0.46;10.05;3;JUMBO;60.56;45.66;75.40;Padrão;66.10;66.42;;14;In_natura
450;48;69.5;3.0;8.2;46.035;66.24;17.966;6;25.85;14.4;46.7;0.308;38.6;B ;4.38;5.499;0.39;7.91;4;JUMBO;56.74;46.14;81.32;Redondo;63.13;64.27;;14;In_natura
451;48;63.6;4.9;8.1;35.369;55.61;20.340;6;31.98;14.3;46.7;0.306;66.3;A ;3.94;7.891;0.47;12.41;4;EXTRA;59.87;46.68;77.97;Redondo;68.06;67.44;;14;In_natura
452;48;71.1;5.1;8.3;46.213;65.00;18.366;7;25.83;16.5;47.3;0.349;65.0;A ;5.30;6.521;0.47;9.17;1;JUMBO;57.87;42.89;74.11;Padrão;56.26;60.42;;14;In_natura
453;48;58.2;3.3;8.3;;;;6;;12.5;46.7;0.268;51.2;B ;5.84;6.842;0.41;11.76;3;EXTRA;60.47;46.60;77.06;Redondo;68.52;67.77;;14;In_natura
454;48;68.3;3.6;8.0;44.648;65.37;17.323;6;25.36;8.4;50.7;0.166;49.0;B ;2.78;6.329;0.41;9.27;4;JUMBO;59.18;46.57;78.69;Redondo;66.98;66.76;;14;In_natura
455;48;55.3;3.4;8.1;31.102;56.24;17.997;7;32.54;12.0;47.3;0.254;54.4;B ;5.26;6.201;0.45;11.21;3;GRANDE;56.46;42.44;75.17;Padrão;53.83;58.78;casca_suja;14;In_natura
456;48;65.2;3.8;8.0;41.627;63.85;17.048;7;26.15;12.6;46.0;0.274;53.5;B ;4.84;6.525;0.45;10.01;3;EXTRA;57.90;43.08;74.40;Padrão;56.75;60.72;;14;In_natura
457;48;55.4;4.3;8.5;29.432;53.13;19.361;6;34.95;12.0;47.7;0.252;64.3;A ;4.98;6.607;0.43;11.93;2;GRANDE;60.22;45.04;74.79;Padrão;64.09;65.25;;14;In_natura
458;48;65.5;3.6;8.5;;;;7;;12.0;48.0;0.250;50.7;B ;5.10;6.875;0.47;10.50;2;EXTRA;58.92;44.05;74.76;Padrão;60.18;62.86;;14;In_natura
459;48;61.9;4.0;8.7;41.505;67.05;13.901;5;22.46;6.0;;;57.7;B ;5.80;6.494;0.45;10.49;2;EXTRA;54.46;44.17;81.11;Redondo;55.91;59.72;;14;In_natura
460;48;57.6;3.4;8.6;34.633;60.13;16.358;6;28.40;11.9;45.7;0.260;52.9;B ;5.16;6.609;0.44;11.47;3;GRANDE;55.62;44.99;80.89;Redondo;59.07;61.77;;14;In_natura
461;48;57.8;3.1;8.6;34.466;59.63;17.610;6;30.47;12.1;47.3;0.256;48.8;B ;4.71;5.724;0.39;9.90;3;GRANDE;57.88;43.16;74.57;Padrão;56.93;60.82;;14;In_natura
462;48;56.8;4.1;8.6;32.407;57.05;18.702;6;32.93;12.1;47.0;0.257;61.5;A ;4.87;5.691;0.42;10.02;4;GRANDE;55.82;43.56;78.04;Redondo;55.85;59.90;;14;In_natura
463;48;67.5;3.5;8.6;40.946;60.66;19.408;6;28.75;11.8;46.7;0.253;48.0;B ;5.24;7.146;0.43;10.59;2;EXTRA;61.37;45.38;73.94;Padrão;66.23;66.58;;14;In_natura
464;48;70.2;3.8;8.4;42.976;61.22;19.762;7;28.15;12.4;48.7;0.255;50.6;B ;1.67;7.462;0.45;10.63;2;JUMBO;59.60;46.74;78.42;Redondo;67.91;67.33;;14;In_natura
465;48;61.8;3.8;8.6;36.563;59.16;18.821;7;30.45;13.3;45.3;0.294;55.4;B ;4.73;6.416;0.45;10.38;2;EXTRA;58.64;44.21;75.39;Padrão;60.30;62.89;;14;In_natura
466;48;58.4;3.6;8.5;33.064;56.62;18.910;7;32.38;12.3;46.3;0.266;54.9;B ;5.56;6.426;0.45;11.00;3;EXTRA;56.98;43.41;76.18;Redondo;56.65;60.54;;14;In_natura
467;48;72.0;2.6;8.5;44.835;62.27;19.863;6;27.59;12.3;49.3;0.249;28.5;C ;6.21;7.302;0.44;10.14;3;JUMBO;59.03;47.46;80.40;Redondo;69.18;67.96;;14;In_natura
468;48;58.3;3.9;8.4;35.644;61.14;16.736;6;28.71;12.5;46.3;0.270;58.5;B ;4.87;5.920;0.43;10.15;1;EXTRA;55.33;43.73;79.03;Redondo;55.76;59.77;;14;In_natura
469;48;60.3;4.0;8.4;32.912;54.58;21.003;6;34.83;11.6;46.0;0.252;58.6;B ;6.08;6.385;0.44;10.59;2;EXTRA;59.15;45.75;77.35;Redondo;64.79;65.53;;14;In_natura
470;48;66.4;3.8;8.5;45.029;67.81;14.786;6;22.27;15.8;49.7;0.318;52.8;B ;5.65;6.585;0.42;9.92;1;EXTRA;58.95;43.96;74.57;Padrão;59.99;62.75;;14;In_natura
471;48;56.2;4.4;8.5;;;;6;;13.3;42.7;0.311;64.9;A ;4.77;5.606;0.42;9.98;2;GRANDE;55.75;43.40;77.85;Redondo;55.40;59.62;;14;In_natura
472;48;67.1;3.0;8.2;44.639;66.53;16.994;6;25.33;12.9;49.3;0.262;40.5;B ;5.57;5.467;0.41;8.15;1;EXTRA;56.33;42.60;75.63;Padrão;54.08;58.91;;14;In_natura
